TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-08_0007,11.83,12.08,11.85,0.07,0.40,0.10,0.00,0.29
2018-02-22T11-30-08_0008,11.85,12.11,11.84,0.07,0.21,0.09,-0.02,0.19
2018-02-22T11-30-08_0009,11.84,12.09,11.85,0.09,0.23,0.09,0.00,0.45
2018-02-22T11-30-08_0010,11.85,12.09,11.83,0.04,0.22,0.10,0.02,0.20
2018-02-22T11-30-08_0011,11.85,12.09,11.84,0.06,0.24,0.10,0.02,0.19
2018-02-22T11-30-08_0012,11.85,12.10,11.85,0.05,0.20,0.08,0.00,0.20
2018-02-22T11-30-08_0013,11.84,12.08,11.85,0.06,0.48,0.13,-0.02,0.18
2018-02-22T11-30-08_0014,11.84,12.10,11.85,0.06,0.21,0.11,0.00,0.19
2018-02-22T11-30-08_0015,11.85,12.09,11.83,0.09,0.20,0.10,-0.09,0.16
2018-02-22T11-30-08_0016,11.82,12.09,11.85,0.07,0.40,0.08,-0.02,0.36
2018-02-22T11-30-09_0000,11.84,12.08,11.85,0.06,0.47,0.06,0.02,0.16
2018-02-22T11-30-09_0001,11.85,12.10,11.84,0.07,0.22,0.09,0.05,0.16
2018-02-22T11-30-09_0002,11.84,12.08,11.84,0.08,0.23,0.10,0.02,0.33
2018-02-22T11-30-09_0003,11.85,12.08,11.85,0.06,0.29,0.10,0.02,0.17
2018-02-22T11-30-09_0004,11.85,12.09,11.83,0.06,0.22,0.08,-0.05,0.13
2018-02-22T11-30-09_0005,11.85,12.10,11.85,0.09,0.20,0.09,-0.05,0.19
2018-02-22T11-30-09_0006,11.85,12.10,11.84,0.09,0.20,0.09,0.05,0.17
2018-02-22T11-30-09_0007,11.85,12.10,11.85,0.05,0.20,0.09,-0.02,0.18
2018-02-22T11-30-09_0008,11.85,12.10,11.84,0.06,0.19,0.09,0.05,0.18
2018-02-22T11-30-09_0009,11.84,12.11,11.84,0.07,0.21,0.09,0.00,0.18
2018-02-22T11-30-09_0010,11.85,12.10,11.85,0.08,0.18,0.07,-0.02,0.20
2018-02-22T11-30-09_0011,11.84,12.07,11.85,0.06,0.44,0.08,0.00,0.19
2018-02-22T11-30-09_0012,11.85,12.09,11.86,0.06,0.19,0.07,0.02,0.38
2018-02-22T11-30-09_0013,11.84,12.09,11.83,0.05,0.22,0.08,-0.02,0.19
2018-02-22T11-30-09_0014,11.85,12.10,11.84,0.05,0.20,0.07,0.02,0.19
2018-02-22T11-30-09_0015,11.84,12.08,11.85,0.08,0.45,0.10,-0.02,0.16
2018-02-22T11-30-09_0016,11.82,12.09,11.85,0.06,0.27,0.06,-0.02,0.45
2018-02-22T11-30-09_0017,11.83,12.08,11.85,0.08,0.51,0.07,0.02,0.18
2018-02-22T11-30-10_0000,11.84,12.09,11.85,0.07,0.21,0.11,0.00,0.32
2018-02-22T11-30-10_0001,11.85,12.10,11.84,0.08,0.21,0.09,-0.02,0.19
2018-02-22T11-30-10_0002,11.84,12.09,11.85,0.08,0.26,0.12,0.00,0.37
2018-02-22T11-30-10_0003,11.85,12.10,11.84,0.08,0.20,0.07,0.00,0.19
